Player,Team,Pos,G,3P,3PA,3P%,AST,STL,BLK,TOV,PF,PTS
Rebecca Allen,NYL,G,25,1,3.3,0.313,1.2,0.8,1,1,1.9,7
Ariel Atkins,WAS,G,36,1.9,5.3,0.365,2.3,1.4,0.3,1.4,2.8,14.6
Rachel Banham,MIN,G,36,1.6,4.1,0.383,2.3,0.3,0.1,1.3,1.7,7.9
Katie Benzan,WAS,G,3,1.7,2.3,0.714,0.3,0,0.3,0.7,2.3,6
Sue Bird,SEA,G,31,1.8,4.6,0.389,6,1.2,0.1,1.9,0.7,7.8
DeWanna Bonner,CON,F-G,33,1.4,4.2,0.329,2.8,1.2,0.3,1.6,1.8,13.5
Napheesa Collier,MIN,F,4,0.5,1.8,0.286,1,0.5,0.3,0.3,2.3,7.3
Sydney Colson,LVA,G,18,0.2,0.6,0.273,1,0.1,0,0.4,0.8,1.6
Kahleah Copper,CHI,G-F,31,1.2,3.3,0.356,2.3,0.5,0,2,2.4,15.7
Sophie Cunningham,PHO,G,28,2.5,6.3,0.4,1.6,1,0.4,1,3.4,12.6
Elena Delle Donne,WAS,F-G,25,1.4,3.8,0.368,2.3,0.5,1.1,1.1,1.4,17.2
Diamond DeShields,PHO,G,30,0.7,3,0.236,2.2,1,0.5,2.3,3.3,13.1
Jasmine Dickey,DAL,G,20,0.1,0.2,0.25,0.1,0.2,0.1,0.3,0.5,1.1
Skylar Diggins-Smith,PHO,G,30,1.3,4.5,0.296,5.5,1.6,1,2.7,2.7,19.7
Stefanie Dolson,NYL,C,36,0.7,1.8,0.394,1.8,0.4,0.8,1.6,3.1,8.1
Dana Evans,CHI,G,33,0.7,2,0.328,1.2,0.3,0.1,0.8,0.9,4.3
Chelsea Gray,LVA,G,35,1,2.9,0.34,6.1,1.6,0.3,2.3,1.5,13.7
Rhyne Howard,ATL,G,34,2.5,7.3,0.343,2.8,1.6,0.8,1.5,2.6,16.2
Lexie Hull,IND,G,26,0.3,1.7,0.186,0.7,0.6,0.1,0.7,1.8,3.8
Sabrina Ionescu,NYL,G,36,2.3,6.9,0.333,6.3,1.1,0.3,3,2.1,17.4
Briann January,SEA,G,36,0.6,2.1,0.311,2.4,0.6,0.2,1.5,1.6,3.7
Marine Johannes,NYL,G,24,2.3,5.3,0.437,3.4,0.6,0.1,1.8,1.6,10
Jonquel Jones,CON,F,33,1.2,3.4,0.369,1.8,1.1,1.2,2.6,2.7,14.6
Betnijah Laney,NYL,G-F,9,1.2,3.2,0.379,2.8,0.4,0.1,2.7,2.7,11.2
Jewell Loyd,SEA,G,36,2.3,6.1,0.385,3.4,1.1,0.2,2.2,1.8,16.3
Marina Mabrey,DAL,G,34,1.8,5.1,0.351,3.7,0.8,0.4,2.4,2.5,13.6
Aari McDonald,ATL,G,36,1.3,3.9,0.338,2.6,1.4,0,2.1,2.2,11.1
Emma Meesseman,CHI,F,36,0.4,1.1,0.342,3.8,1.4,0.8,1.4,2.5,12.4
Nikolina Milic,MIN,F,31,0.2,0.7,0.273,0.7,0.3,0.3,1.4,1.8,6
Kelsey Mitchell,IND,G,31,2.3,5.7,0.409,4.2,0.9,0.2,2.4,2.3,18.4
Tiffany Mitchell,IND,G,34,0.4,0.9,0.387,1.2,0.8,0.1,0.9,1.4,6.5
Arike Ogunbowale,DAL,G,30,2.8,7.9,0.352,3.6,1.5,0.1,1.8,2.2,19.7
Chiney Ogwumike,LAS,F-C,26,0.3,0.7,0.444,1.1,0.8,0.3,1.4,2.7,7
Nneka Ogwumike,LAS,F,34,0.6,1.7,0.368,2,1.6,0.4,1.8,2.4,18.1
Michaela Onyenwere,NYL,F,34,0.4,1.5,0.3,0.4,0.4,0.2,0.7,2,4.7
Candace Parker,CHI,F-C,32,1.3,4.2,0.311,4.5,1,1,2.4,2.2,13.2
Cheyenne Parker,ATL,F,36,0.3,1.5,0.218,2,1.1,0.9,2,2.7,11.8
Shey Peddy,PHO,G,34,1.4,4.3,0.329,3.4,1.6,0.2,1.4,1.8,9.9
Kelsey Plum,LVA,G,36,3.1,7.5,0.42,5.1,1,0.1,2.6,2.5,20.2
Allie Quigley,CHI,G,34,1.5,4.1,0.355,2.9,0.7,0.2,1.3,1.5,11.4
Satou Sabally,DAL,F,11,0.9,3.9,0.233,2.1,0.5,0.2,2.3,3.2,11.3
Karlie Samuelson,PHO,F,1,1,3,0.333,1,0,0,1,1,3
Katie Lou Samuelson,LAS,F,32,1.8,5,0.352,1.9,1,0.2,1.1,1.6,9.7
NaLyssa Smith,IND,F,32,1.2,3,0.381,1.4,0.5,0.3,2.4,2.9,13.5
Breanna Stewart,SEA,F,34,2,5.2,0.379,2.9,1.6,0.9,1.3,2.1,21.8
Diana Taurasi,PHO,G,31,3,8.8,0.337,3.8,0.7,0.6,2.7,2.9,16.7
Sparkle Taylor,CHI,G,2,0,0.5,0,0,0,0,0.5,1.5,5.5
Alyssa Thomas,CON,F,36,0,0.1,0,6.1,1.7,0.2,2.9,2.8,13.4
Kayla Thornton,DAL,F,36,0.7,2.1,0.329,1.8,1.1,0.6,1.2,2.7,8
Kristi Toliver,LAS,G,11,1.2,3.3,0.361,3.1,0.4,0,2.3,1.3,5.9
Courtney Vandersloot,CHI,G,32,0.9,2.5,0.367,6.5,1.2,0.5,2.7,1.7,11.8
Erica Wheeler,ATL,G,30,0.8,2.4,0.329,3.9,1.1,0.1,2.5,2.5,8.4
Sami Whitcomb,NYL,G,35,1.7,4.8,0.351,2.3,0.7,0.1,1.4,1.6,6.5
Courtney Williams,CON,G,34,0.6,1.9,0.338,3.3,1,0.4,1.7,1.6,11.1
Gabby Williams,SEA,F,36,0.5,1.9,0.257,3.1,1.5,0.4,1.4,1.6,7.5
A'ja Wilson,LVA,F,36,0.9,2.3,0.373,2.1,1.4,1.9,1.7,2.1,19.5
Jackie Young,LVA,G,34,1.5,3.4,0.431,3.9,1.4,0.2,1.3,2.4,15.9
AD Durr,TOT,G,25,0.9,2.3,0.404,1.2,0.4,0.2,0.9,1.3,7
